,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,19,背景画像名
96,orend,でもやっぱり怒った顔もかわいいぜえー！ビューティフォー！,,,R,smile,talk,,22,
97,shandy,いいから！すぐ！出ていきなさい！さっさと！！,,,R,angry,talk,打撃ビンタ音のSE,33,
98,orend,あら、ほんとに怒っちゃったかも！あっはっは！いこーぜー！イーラー！,,,R,smile,talk,,13,
99,era,うん！ヴェルがんばってね！,,,R,smile,talk,,#REF!,
101,volcus,イーラもすっかり馴染んだものだ。人見知りせず、皆と打ち解けてられている。ふっ..誰に似たのやら。,,,,,talk,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),#REF!,024_rest_rooms
103,shandy,あら？イーラちゃん、一人で珍しいわね。,,,R,normal,talk,,18,
104,era,んー？そうかな？（物書きをしながら）,,,L,normal,talk,,10,
105,shandy,ん？何か書いてるの？,,,R,normal,talk,,7,
106,era,うんー、脚本。,,,L,normal,talk,,16,
107,shandy,へえー。どんなお話を書いてるの？,,,R,normal,talk,,9,
108,era,ママのおはなしー。,,,L,normal,talk,,4,
109,shandy,へえー。,,,R,normal,talk,,12,
110,era,ヴェルが教えてくれるの！,,,L,normal,talk,,20,
111,shandy,そうなんだ...。ねっ、どんなお話なの？,,,R,normal,talk,,14,
112,era,うーんとね、えーっとー...,,,L,normal,talk,,#REF!,
114,,ーーサラがヴォルカスに話かける。,,,,,none,場面切り替え/BGM切り替え(Old_Style)/背景切り替え,41,028_Inside_Castle
115,sara,ヴォルカス様、何やら海岸沿いの街で人族の娘が暴れていると報告があったのですが...,,,R,normal,talk,,11,
116,volcus,人族の娘？ふむ...。,,,L,smile,talk,,45,
117,sara,船などを見かけた者はおらず、港があるような場所でもなく。私たちが知らぬ術を用いるそうです。,,,R,normal,talk,,15,
118,volcus,ふむ。オレンドはどうしている。,,,L,smile,talk,,19,
119,sara,今は人族の地の侵攻へ向かっております。,,,R,normal,talk,,23,
120,volcus,そうか。では、私が様子を見てくることとしよう。,,,L,smile,talk,,42,
121,sara,！？・・・差し出がましいですが、敵の正体は不明なんです...。万が一でもあれば...,,,R,normal,talk,,15,
122,volcus,私に万が一があるというのだな？,,,L,smile,talk,,14,
123,sara,い、いえ...失礼しました。,,,R,normal,talk,,38,
124,volcus,ふむ...。いや、すまなかった。忘れてくれ。どうにもそなたには甘えてしまう。,,,L,smile,talk,,11,
125,sara,・・・どうされました。,,,R,normal,talk,,49,
126,volcus,普通に考えればそなたの言うことが正しい。大将の私が迂闊に外にでるなどと抜かした私が悪いのだ...。,,,L,smile,talk,,55,
,volcus,だが、私も魔王である前に一人の魔族なのだ...。私も時にはただの魔族として外に出て知らぬ何かを見てみたいのだ。,,,L,smile,talk,,28,
,volcus,堅苦しい思いをし続けるのはどうも肩がこってしまうのでな。,,,L,smile,talk,,54,
127,sara,ふっ...そうなのですね。でも私もヴォルカス様に魔王様としてのあり方を求めすぎていました。申し訳ありません。,,,R,normal,talk,,43,
128,volcus,いや、いいのだ。サラよ。そなたも外に出たくなったら言うと良い。すぐにでも聞き届けよう。,,,L,smile,talk,,14,
129,sara,はい。ありがとうございます。,,,R,normal,talk,,31,
130,volcus,では、様子を見てこよう。何事もなく帰ってくる。安心すると良い。,,,L,smile,talk,,31,
131,sara,わかりました。お気をつけて。必ずご無事に帰ってきてくださいね。,,,R,smile,talk,,0,
,,,,,,,,,59,
133,,ーーロクシーが付近の魔物を蹴散らしている。足元を中心に数メートル範囲に魔法陣が書かれている。そこへヴォルカスが訪れる。,,,,,none,場面切り替え/BGM切り替え(ラテンダンス)/背景切り替え,48,026_loxy_magiccircle
134,loxy,うおりゃあああああああ！どっっっかあああん！...ああもう！しつこい！！てええりゃああああああ！,,,R,angry,talk,爆発SE,29,
134,loxy,どっっっかあああん...はぁ...、はあ！あんたたちねえ！,,,R,angry,talk,,36,
134,loxy,私は探検に来ただけなのに！なあんで食ってかかってくるのよ！邪魔しないで！,,,R,angry,talk,,17,
1,volcus,ふむ。随分と豪快な...。ん..？,,,L,smile,talk,,36,
2,loxy,はぁはぁ...ん？あなた...あなたも私の冒険の邪魔をしようっていうの？,,,R,angry,talk,,14,
3,volcus,そなた手加減をしていたのか？,,,L,smile,talk,,2,
4,loxy,へ？,,,R,normal,talk,,20,
5,volcus,死なぬように手加減したか、と聞いておる。,,,L,smile,talk,,39,
6,loxy,・・・はぁ...へぇ。それで...してないって言ったらあなたは私をどうするの？,,,R,normal,talk,,19,
7,volcus,ふむ。こうする。（手から魔導波が出る）,,,L,smile,talk,,16,
8,loxy,きゃあ！！危ないじゃない！急に！,,,R,angry,talk,,26,
9,volcus,ふむ。この魔法陣がその力の元か。（足元にしゃがんで）,,,L,smile,talk,,12,
10,loxy,ちょっと近寄らないで！！,,,R,angry,talk,,27,
11,volcus,邪魔だ。（ロクシーを見向きもせず、体から魔導波が出る）,,,L,smile,talk,,21,
12,loxy,きゃあ！！！ちょ、ちょっと！あんたねぇ！！,,,R,angry,talk,,31,
13,volcus,ふむ。良くできた古代魔法だ。人の娘よ。どこでこれを知ったのだ。,,,L,smile,talk,,52,
14,loxy,はぁ！？なんであんたみたいな良くわからないやつに教えないといけないのよ！あんたもトレジャーハンターなの？,,,R,angry,talk,,30,
15,volcus,ふむ。私を知らぬのか。面白い。私はヴォルカスという。魔王だ。,,,L,smile,talk,,22,
16,loxy,ふーん。私はロクシー！トレジャーハンターよ！,,,R,angry,talk,,16,
17,volcus,ほう。ロクシーか。良い名前だな。,,,L,smile,talk,,10,
18,loxy,世界で一番立派なね！,,,R,angry,talk,,7,
19,volcus,・・・嘘だな。,,,L,smile,talk,,26,
20,loxy,う、嘘じゃないわよ！これからなるんだから！これから！,,,R,angry,talk,,32,
21,volcus,してロクシーよ。この古代魔法は、良くできてはいるが。（指を噛む）,,,L,smile,talk,,12,
22,loxy,え！？な、何してるの！？,,,R,angry,talk,,25,
23,volcus,完璧ではない。（少し移動して）ここが間違っておる。,,,L,smile,talk,魔法のSE,17,
24,loxy,え！？ちょ、ちょっとぉ！なんで！？,,,R,angry,talk,,28,
25,volcus,ふむ。これでそなたの力は人並みとなった。観念するとよい。,,,L,smile,talk,,32,
26,loxy,え！どうやったの！？ねえ！あなた、古代魔法について知っているの？,,,R,angry,talk,,58,
26,loxy,私も完璧ではないと思っていたんだけど！何が悪いのか全然わからなくて！ねえ！あなたは誰なの！？どうして知っているの！？,,,R,angry,talk,,7,
27,volcus,ふ...ふむ。,,,L,smile,talk,,45,
28,loxy,私はロクシー！あなたは...ヴォルカスだっけ？あ！ヴォルカス！ほんとに！え？ヴォルカス！？,,,R,normal,talk,,52,
,loxy,私ね、遺跡で見つけた本で読んだことがあるの！あなた、まさか神話時代から生きているヴォルカスなの！？ねえ！,,,R,normal,talk,,22,
29,volcus,ふ、ふむ。一度、落ち着ける場所に、行かぬか。,,,L,smile,talk,,#REF!,
31,,ーーロクシーを連れて魔王城に帰る。,,,,,none,場面切り替え/BGM切り替え(Old_Style)/背景切り替え,33,028_Inside_Castle
32,sara,おかえりなさいませ。ヴォルカス様...。その人族はどちら様ですか？,,,L,normal,talk,,6,
33,volcus,ふむ...。,,,L,smile,talk,,18,
34,loxy,私はロクシー！トレジャーハンターよ！,,,R,normal,talk,,9,
35,volcus,・・・とのことだ。,,,L,smile,talk,,32,
36,sara,・・・はぁ。で、そのトレジャーハンターが魔王城になんの用ですか？,,,L,confuse,talk,,8,
37,loxy,あなたこそ誰よ！,,,R,angry,talk,,25,
38,sara,私はサラです。この城の雑務を取り仕切る執務官です。,,,L,confuse,talk,,9,
39,volcus,ふむ。私が招いた。,,,L,smile,talk,,23,
40,sara,見ればわかります。で、な・ん・の用なんですか？,,,L,confuse,talk,,35,
41,loxy,ヴォルカスに古代文明のことを聞きに来たの！ひっ！（胸に違和感を感じる）,,,R,angry,talk,,35,
42,sara,ヴォルカス様のことを呼び捨てにするとは。今この場で呪い殺しましょうか？,,,L,angry,talk,,12,
43,volcus,サラよ。私が許しておる。,,,L,smile,talk,,9,
44,sara,・・・そうですか。,,,L,confuse,talk,,12,
45,volcus,そなたの忠義に感謝する。,,,L,smile,talk,,24,
46,loxy,いっ...ふー...助かったぁ。死ぬかと思った。,,,R,normal,talk,,12,
47,volcus,すまぬな。手荒な歓迎で。,,,L,smile,talk,,27,
48,loxy,いいわよ。どうせ、歓迎されないのはわかってるんだから。,,,R,normal,talk,,19,
49,orend,はっはっはっはあ！サラは真面目だなぁ！,,,L,unique,talk,,5,
50,loxy,わっ！わ！,,,R,confuse,talk,,50,
51,orend,そーんなに怒ってばっかりだと幸せが逃げてくぞー！よいしょっと、アンハッピーアンハッピー！...ほい！,,,L,normal,talk,,14,
52,loxy,へ？わっ！（はりつけになる）,,,R,angry,talk,,12,
53,volcus,オレンドよ。悪趣味だぞ。,,,L,confuse,talk,,8,
54,sara,帰ってきたのね。,,,L,confuse,talk,,30,
55,orend,はっはっはー！初めまして、ロクシー！俺は傀儡師のオレンドさ！,,,L,normal,talk,,38,
55,orend,ヴォルカス様が一人で出て行ったってサラが震えた声で連絡してくるもんだからー！,,,L,normal,talk,,25,
55,orend,きてみたら可愛い可愛いレディーがいるじゃないかあ！,,,L,normal,talk,,28,
56,loxy,え！わっ！おっとっと！（無理矢理ステップを踏ませられる）,,,R,normal,talk,,13,
57,orend,踊ろうぜぇ！！はっはっは！,,,L,smile,talk,,13,
58,loxy,こ、こら！わぁ！離して！！,,,R,angry,talk,,35,
59,volcus,うむ。落ち着くのだ。久しく訪れた客人だからといって、はしゃがぬことだ。,,,L,smile,talk,,#REF!,
61,,ーーイーラとシャンディが今のシーンについて会話する,,,,,none,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),25,024_rest_rooms
62,shandy,ねえ、このオレンドってさ、あのオレンドなのかしら？,,,R,normal,talk,,22,
63,era,わかんないの...オレンド、覚えてないって。,,,L,normal,talk,,22,
64,shandy,あー、そっか。でもなんか似てるわね。ふふふ。,,,R,normal,talk,,8,
65,era,うん！そっくり！,,,L,normal,talk,,38,
66,shandy,ね。このシーン、突然オレンドが出てきたように見えたけど、どこかに潜んでたの？,,,R,normal,talk,,30,
67,era,うん。ママの鞄の中から出てきたんだって、ヴェルは言ってたよ！,,,L,normal,talk,,6,
68,shandy,へー...。,,,R,normal,talk,,#REF!,
70,,ーーオレンドが呪いを解いて話は続く,,,,,none,場面切り替え/BGM切り替え(Old_Style)/背景切り替え,59,028_Inside_Castle
71,orend,でえ！ヴォルカス様はどーして人族のレーディを連れてきちゃったんですかぁー？は！まさかあ！LOVE！？一目惚れですか！？,,,R,normal,talk,,44,
72,volcus,ふむ。その者が古代魔法の使い手でな。なかなか懐かしきものを見たゆえ、礼として招待をした。,,,L,smile,talk,,8,
73,sara,古代魔法ですか。,,,R,normal,talk,,12,
74,volcus,そうだ。神代の魔法陣だ。,,,L,smile,talk,,21,
75,orend,へぇ〜。こんな娘っ子がねぇ〜。あっはっは！,,,R,angry,talk,,58,
76,loxy,ん！？なによ！こう見えて、人大陸は端から端まで冒険したんだから！そういうあんたは頭がゆるそうな顔してるわね！ふふん！,,,L,angry,talk,,50,
77,orend,ああん！？おうおう！レーディ！だあれの顔がゆるゆるふぬけ顔だあ！アングリーしちゃうぜえ！アングリー！,,,R,angry,talk,,5,
78,loxy,あんたよ！,,,L,angry,talk,,53,
79,orend,ほーう！ならこれならいいってかぁ！（術で自分の顔をロクシーの顔に変える）ほーらほーら！クレバーな顔だろー！,,,R,unique,talk,,31,
80,loxy,ちょ！ちょっとあんた！それ私の顔じゃない！私の顔かえしなさい！,,,L,angry,talk,,54,
81,orend,やなこったー！はっはっはー！だいたいロクシーの顔はそこにあんだろー！悔しかったらここまでおいてー！はっはー！,,,R,smile,talk,,41,
82,sara,はぁ。お子様同士、仲良くやってなさいよ。私はもう戻るわ。何事もなかったみたいだし。,,,R,confuse,talk,,38,
83,orend,はっはっはー！俺は若いからモテちゃってしょーがないもんなぁー！はっはっはー！,,,R,normal,talk,,51,
84,sara,お...オレンド...・あんたそれは悪口かしら...？仕事じゃない時にあったら、覚えてなさいよ...。,,,R,angry,talk,,3,
85,volcus,ふむ。,,,L,smile,talk,,8,
86,loxy,・・・サラさん！,,,L,normal,talk,,5,
87,sara,・・・何？,,,R,normal,talk,,40,
88,loxy,トレジャーハンターもね男ばっかりの仕事なんだけど...。女の子同士！よろしくね！,,,L,normal,talk,,8,
89,sara,・・・よろしく。,,,R,normal,talk,,4,
90,loxy,えへへ。,,,L,normal,talk,,38,
91,sara,まったく。城内でも気を抜かないことね。戦争で家族を失った魔族は山ほどいるわ。,,,R,normal,talk,,33,
91,sara,城内は人族を良く思わない魔族ばっかりなんだから。気をつけることね。,,,R,normal,talk,,22,
92,loxy,はい！ありがとー！サラさんは人族のこと嫌い？,,,L,normal,talk,,25,
93,sara,さぁ？あんまり会ったことがないから、わからないわ。,,,R,normal,talk,,4,
94,loxy,そっか！,,,L,normal,talk,,13,
95,sara,満足かしら。失礼するわね。,,,R,normal,talk,,10,
96,,ーーサラが退場する。,,,,,,,11,
97,volcus,ふむ。してオレンドよ。,,,R,smile,talk,,13,
98,orend,はいはーい！なんでしょー！,,,L,normal,talk,,15,
99,volcus,しばらくロクシーの世話を頼む。,,,R,smile,talk,,27,
100,loxy,は！？なんで私がこんな奴と一緒にいなきゃなんないのよ！,,,L,angry,talk,,42,
101,volcus,ふむ。私は多忙ゆえ、な。オレンドも戦のない時は城内でも外でも、付き合ってやるが良い。,,,L,smile,talk,,49,
101,volcus,月の出ている間は古代魔法でもなんでも聞きにくるが良い。人が休む時間帯ゆえ、まだ暇（いとま）がある。,,,L,smile,talk,,25,
102,orend,だ、そうだ！よろしくなあ！ロクシー！はっはっはー！,,,R,normal,talk,,#REF!,
104,,ーー客間に移動しながら会話する二人,,,,,,,25,
105,loxy,もう！せっかく古代魔法のこと聞けるって思ったのに！,,,L,angry,talk,,43,
106,orend,んー？夜まで待てば話を聞けるんだろー。うぇいとうぇいと！のんびり待てばいいじゃねーか！,,,R,normal,talk,,50,
107,loxy,じゃあその間どうしたらいいのよ！こんな自由に動き回れない城で、あぁ。じっとしてるのが一番嫌いなのに。,,,L,angry,talk,,29,
108,orend,はっはっはー！いいじゃねぇか、たまにはのんびりしよーぜー！,,,R,normal,talk,,18,
109,loxy,・・・あんたはいいわよね、能天気で。,,,L,normal,talk,,25,
110,orend,およよ！？はっはっはー！ハッピーだぜえ！すんげー！,,,R,smile,talk,,7,
111,loxy,はああぁぁあ。,,,L,normal,talk,,26,
112,orend,ロクシーはさあ、古代文明が好きだったんだっけ？なぁ！,,,R,smile,talk,,4,
113,loxy,そうよ。,,,L,normal,talk,,31,
114,orend,へえー！面白いロクシーだなぁ！で、なんであんなのが好きなのよ？,,,R,normal,talk,,59,
115,loxy,うーんとね。なんとも言えないあの古臭ぁいけど、存在感がある遺物が大好きなの...良く見るとそれぞれ模様が違ってねえー！,,,L,normal,talk,,4,
116,orend,ほおー！,,,R,normal,talk,,51,
117,loxy,調べて組み合わせたりして、この世界の真理を読み解いていくような気がするのよ！ああぁ...あぁああ...,,,L,normal,talk,,21,
118,orend,おいおい、ロクシー、よだれが垂れてるぞー。,,,R,normal,talk,,22,
119,loxy,は！！（ずるずる）ちょ！ちょっと見ないでよ！,,,L,angry,talk,,31,
120,orend,はっはっは！見ないでって、二人でいるんだから、そりゃ無理だろ！,,,R,normal,talk,,8,
121,loxy,そ、それでもよ！,,,L,angry,talk,,59,
122,orend,はっはっは！まぁまぁ。じゃあさ！俺いい場所知ってんだあ！詳しくは知らねーんだけどよ、この城は昔は神殿だったらしくてさ！,,,R,normal,talk,,29,
123,loxy,え！・・・まさか！そっか。魔物の地は神代イルミアの納めた地,,,L,normal,talk,,44,
,loxy,ここはイルミアが納めた地、そして魔物の地の中心は魔王城...ということは。え！じゃあ！？,,,L,normal,talk,,28,
124,orend,おお！なんかビビッときてるみたいだなぁ！でな、でな...,,,R,normal,talk,,0,
,,,,,,,,,#REF!,
2,,ーー夜、列車の中でヴェルとオレンドが会話している。イーラは寝ている。,,,,,none,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),29,024_rest_rooms
3,shandy,ってことがあったの！イーラちゃん、きっと、文才あるわよー。,,,R,smile,talk,,3,
4,volcus,ふむ。,,,L,smile,talk,,33,
5,orend,おぉおぉ！そりゃいいや！最近は俺の頭もすっからかんになってきたし！,,,R,smile,talk,,17,
6,shandy,元からすっからかんの間違いでしょ。,,,R,normal,talk,,26,
7,orend,はっはっは！そうかもなあ！エンプティーエンプティー。,,,R,normal,talk,,8,
8,era,くぅー。くぅー。,,,L,unique,talk,,23,
9,shandy,こんなに騒いでるのに、良く寝てるわねぇ...。,,,R,normal,talk,,3,
10,volcus,うむ。,,,L,smile,talk,,37,
11,shandy,それで、ヴェルさんはイーラちゃんが脚本を書いていたのを知っていたのかしら？,,,R,normal,talk,,39,
12,volcus,ふむ。知っておった。私が演劇の練習に勤めている間、いそいそと何かをしておった。,,,L,smile,talk,,4,
13,orend,へえー！,,,R,normal,talk,,33,
14,volcus,夜になると、決まって私のところへきて昨晩の続きを話せとせがむのだ。,,,L,smile,talk,,7,
15,shandy,真面目なのね。,,,R,normal,talk,,32,
16,volcus,イーラも、彼女なりに劇団の力になりたい、そう思っておるのだろう。,,,L,smile,talk,,51,
17,orend,おぉ！なんといじらしい！それなら、座長たる私が頑張って書いた脚本を演目に採用してあげようじゃないかあ！,,,R,normal,talk,,29,
18,shandy,ちょっと、流石に声が大きい。起こしちゃったら可哀想でしょ？,,,R,angry,talk,,25,
19,orend,おぉ。そうだったーそうだったー。ソーリーソーリー。,,,R,normal,talk,,31,
20,shandy,でも、面白そうね。ちゃんと手直しはすればいい題材な気がするし。,,,R,normal,talk,,43,
21,orend,そうさ！フレンドと一緒に、素晴らしい作品に仕上げるなんて、グッドな体験じゃないかあー。,,,R,normal,talk,,8,
22,volcus,ふむ。感謝する。,,,L,smile,talk,,5,
23,orend,おおよー。,,,R,normal,talk,,9,
24,volcus,して、オレンドよ。,,,L,smile,talk,,5,
25,orend,ほいほい？,,,R,normal,talk,,13,
26,volcus,そなたは半魔だと言ったな。,,,L,smile,talk,,7,
27,orend,ん？そうさあ！,,,R,normal,talk,,26,
28,volcus,そなた、自分の魔力がなぜ全くないのか理解しておるか？,,,L,smile,talk,,21,
29,orend,んー！・・・さあなあ。アーイドーントノー。,,,R,normal,talk,,3,
30,volcus,ふむ。,,,L,smile,talk,,28,
31,shandy,・・・あなたはオレンドが失った記憶を取り戻せるのかしら。,,,R,normal,talk,,3,
32,volcus,あぁ。,,,L,smile,talk,,22,
33,shandy,や、やっぱりそうなのね...！じゃ、じゃあ！,,,R,normal,talk,,35,
34,volcus,待て、シャンディよ。オレンド、そなたはどう思う。記憶を取り戻したいか？,,,L,smile,talk,,31,
35,orend,あー...あんまり真面目なの得意じゃねえんだけどなぁー...。,,,R,normal,talk,,3,
36,shandy,・・・,,,R,normal,talk,,40,
37,orend,うーん...記憶が戻った時俺は、今の俺のままでいられるのかなぁ、って思うわけよ。,,,R,normal,talk,,31,
38,orend,今は劇団のみんなと旅をするのが楽しい！ベリーハッピーだからな！,,,R,smile,talk,,32,
,orend,だからみんなとの今が崩れちゃうんじゃないかって...心配なんだ。,,,R,smile,talk,,3,
39,volcus,ふむ。,,,L,smile,talk,,58,
40,orend,でも、俺がどう生きてきたのか、ヴェルたちが話す俺が本当に俺なら。何があったのか知りたい気持ちもあるんだよなぁ...。,,,R,normal,talk,,46,
41,shandy,確かにそうね...あなたの記憶が戻ったら、今のオレンドじゃなくなるのかもしれないのね...。,,,R,confuse,talk,,33,
42,volcus,ふむ。だが、私からしたらそなたは、今も昔も私の知るオレンドである。,,,L,smile,talk,,9,
43,orend,そっかあー...。,,,R,normal,talk,,21,
44,era,くぅー。ゔぇるー。くぅー。お話ー。くぅー。,,,L,normal,talk,,56,
45,volcus,ふむ。イーラからそなたに流れようとしている魔素がある。オレンドよ、これはそなたの魔素だ。気づいておらぬのだろう。,,,L,smile,talk,,16,
46,orend,ん？まぁ、俺は見えないからなぁ。,,,R,normal,talk,,38,
47,volcus,そうであろう。おそらく長らくイーラの中にあり、もう役目を果たしたのであろう。,,,L,smile,talk,,20,
48,orend,俺が何かしたかもしれないってこと、かい。,,,R,normal,talk,,10,
49,volcus,そうだ...。ふむ。,,,L,smile,talk,,8,
50,shandy,・・・私は...,,,R,cry,talk,,5,
51,orend,・・・ん？,,,R,normal,talk,,34,
52,shandy,・・・私は、あなたにとって私より大切な人がいたとしてもかまいません。,,,R,normal,talk,,8,
53,orend,シャンディ...,,,R,,talk,,39,
54,shandy,あなたはきっとこの劇団以外の世界を知らないから。それって切ないことだと思うの。,,,R,cry,talk,,31,
54,shandy,あなたは昔のことを話す時、いつもちょっと寂しそうな顔をするの。,,,R,cry,talk,,28,
55,orend,あはは、そりゃ、記憶がなけりゃ誰だってそんな顔するだろ。,,,R,normal,talk,,24,
56,shandy,どんな時でも笑顔で楽しそうに笑うあなただからよ。,,,R,cry,talk,,59,
56,shandy,演目の出来が悪くて散々なブーイングをされた時も、一日中呼び込みをしてもお客さんが入らなかった時もいつだって笑顔だったわ,,,R,cry,talk,,58,
56,shandy,あなたの笑顔にどれだけ勇気づけられたことか。そんなあなたがふと、過去の話をするときだけは、とても辛そうな顔をするの。,,,R,cry,talk,,16,
57,orend,うーん、そんな顔しちまってたか。,,,R,normal,talk,,58,
58,shandy,だから、私より大切な人がいたとしても構いません。覚悟はできている。ヴェルさん、オレンドの記憶を戻すことができますか？,,,R,cry,talk,,9,
59,volcus,ふむ。オレンドよ。,,,L,smile,talk,,49,
60,orend,多分...本当は思い出したいんだ..。でも、俺、昔は実はすげー悪いやつだったんじゃないか..って。,,,R,smile,talk,,52,
60,orend,自分がいい奴だなんてちっとも思ったことなくて..。だから過去に何か悪いことをしてたんじゃないかって..。,,,R,smile,talk,,55,
60,orend,だから思い出すのがすごく怖い。それから、俺は記憶がないからって罪を償わずにいるってのはなんかできなくてな..。,,,R,smile,talk,,45,
61,orend,だから、半魔の俺でもできて、みんなを笑顔に、幸せにするために何かやりたいって思ってたんだ。,,,R,smile,talk,,34,
,orend,そんな時にこの演劇団に拾ってもらってほんっとに良かったと思ってんだ。,,,R,smile,talk,,7,
62,shandy,オレンド...,,,R,normal,talk,,42,
63,orend,だからさ、どんなにひどく言われたって、どんなに惨めに扱われたって、全く辛くなかった。,,,R,normal,talk,,57,
63,orend,俺にはなーんにもなかったから。...でもずっと刺さるんだ。俺は誰で、どこからきて、なぜ今ここにいるんだろう。って。,,,R,normal,talk,,58,
63,orend,１から知ってる人はいいさ。気づいた時には何にもぇ頭んなかと、ぽっかり穴のあいた心。隠してきたつもりだったけどなぁー。,,,R,normal,talk,,3,
64,volcus,ふむ。,,,L,smile,talk,,30,
65,orend,ヴェル...あ、ちょっとまってくれ。シャンディ（キスをする）,,,R,normal,talk,,9,
66,shandy,あ、ちょ、ん...,,,L,normal,talk,※照れ顔のシャンディがあったのでそれで。,40,
67,orend,・・・うーしっ！大丈夫だ！かむかーむ。ヴェルゥゥゥゥ！俺に記憶を、くれくれえい！,,,R,normal,talk,,54,
68,volcus,うむ。良き心がけだ。少々辛いと思うが、オレンドは大丈夫であろう。行き場を失った魔素よ。主人の元へ変えるのだ。,,,L,smile,talk,魔法のSE,11,
69,orend,グッ！！あ...あああ,,,R,confuse,talk,,6,
70,shandy,オレンド！！,,,L,confuse,talk,,0,
,,,,,,,,,12,
72,,ーー記憶の中に入っていく,,,,,none,場面の切り替え/背景の切り替え/ BGM切り替え(歪む霊域),#REF!,032_forest
74,volcus,ふむ。まだかかってくるか。,,,L,smile,talk,,23,
75,orend,ゆるさねぇ！お前が魔王なんだろ！ゆるさねぇ！！,,,R,angry,talk,,30,
76,volcus,ふむ。好きにするが良い。そなたが飽きるまで付き合ってやろう。,,,L,smile,talk,,#REF!,
78,,ーー戻る,,,,,none,フラッシュバックするSE/背景切り替え,#REF!,024_rest_rooms
80,orend,ぐぅ...はあ...ガハ！,,,R,confuse,talk,,#REF!,
82,,ーー過去の記憶,,,,,,,#REF!,
84,loxy,ねえ、オレンドって好きな人いるの！？,,,L,normal,talk,,34,
85,orend,なあんでそんなこと気になるのかなぁ！まさかロクシー！俺のことが...,,,R,normal,talk,,56,
86,loxy,はあ？何言ってんの。私はヴォルカス様一筋！あぁ...ヴォルカス様ぁ、なんであなたはそんなに博識なのでしょう...,,,L,normal,talk,,#REF!,
88,,ーー戻る,,,,,,,#REF!,
90,orend,ゲホゲホ、あぁっぁっぁあああ！,,,R,confuse,talk,フラッシュバックするSE/背景切り替え,#REF!,024_rest_rooms
92,,ーー過去の記憶,,,,,,,#REF!,
94,sara,オレンド、あなたにだけ伝えます。,,,L,cry,talk,背景切り替え,36,028_Inside_Castle
95,orend,なあに！サラ！俺の失恋記念日でもお祝いしてくれるのかなぁ！？あっはっは！,,,R,normal,talk,,26,
96,sara,・・・いえ。私は、次の新月の夜にロクシーを殺します。,,,L,cry,talk,,#REF!,
98,,ーー戻る,,,,,,,#REF!,
100,orend,あああああっぁっぁぁああああああああ！！！,,,R,confuse,talk,フラッシュバックするSE/背景切り替え,#REF!,024_rest_rooms
102,,ーー過去の記憶,,,,,,,31,
103,loxy,オレンド！私のお腹を裂いて。この娘だけ、イーラだけでも守って。,,,L,cry,talk,背景切り替え,4,048_blood_ room
104,,ーー戻る,,,,,,,25,
105,orend,ああああああぁぁぁああああぁぁぁっぁああああ！！！,,,R,confuse,talk,フラッシュバックするSE/背景切り替え,#REF!,024_rest_rooms
