,,,,,,,
,ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,
,243,243_ヴェル,ヴェル,・・・名があるのか。さて、話せる範囲で良い。何があった。,,,
,244,244_クリシュオラ,クリシュオラ,お、俺は奴隷さ。。。,,,
,245,245_ヴェル,ヴェル,ふむ。,,,
,246,246_ヴェル,ヴェル,（Ｍ）「人魔終戦から１０年。敗北後も各地で魔族の残党は敗れに敗れ、今や森や洞窟の奥でひっそり暮らすか、人の奴隷として生きるかしか魔族には道がない。惨めではあるが、人間からの共存の提案を退け、わずかな者を残すまで戦い続けた我らが種族の宿命か・・・。,,,
,247,247_クリシュオラ,クリシュオラ,この街の近くの森にコロニーがあると聞いて・・・,,,
,248,248_ヴェル,ヴェル,仲間の元へ行きたくなったか。,,,
,249,249_クリシュオラ,クリシュオラ,そうさ・・・俺は戦いが終わる前、ひっそりと森に暮らしていて・・・,,,
,250,250_ヴェル,ヴェル,ふむ。,,,
,251,251_クリシュオラ,クリシュオラ,ある日突然、戦いは終わった。。。俺たちは魔王様の訃報をうけた。あんたも知ってるかもしれないが。。,,,
,252,252_ヴェル,ヴェル,ふむ。,,,
,253,253_クリシュオラ,クリシュオラ,そこから大半の森の魔族達は怒り狂ったように人間の街へ侵攻したが、まぁ。。。統率もない低級魔族の群れが人間の軍隊に勝てるはずもなく・・・さ。,,,
,254,254_ヴェル,ヴェル,参加したのか。,,,
,255,255_クリシュオラ,クリシュオラ,・・・ああ。,,,
,256,256_ヴェル,ヴェル,そうか。,,,
,257,257_クリシュオラ,クリシュオラ,・・・俺みたいなインプ族は元々小柄で、力も弱いから。家族で参加したのは俺だけだった。俺は運良く死なずに、この街の貴族の奴隷として雇われた。,,,
,258,258_ヴェル,ヴェル,それで、近くの森のコロニーに家族がいると思ってか。,,,
,259,259_クリシュオラ,クリシュオラ,・・・そうさ。そしたら捕まってあのざまさ・・・。,,,
,260,260_ヴェル,ヴェル,ふむ。わかった。ご苦労だったな。,,,
,261,261_クリシュオラ,クリシュオラ,・・・ん？あ、あぁ。,,,
,262,262_ヴェル,ヴェル,安心して休むとよい。ここは心優しきものの家だ。,,,
,263,263_クリシュオラ,クリシュオラ,あ、あぁ。。。ありがてぇ。。。,,,
,264,264_ヴェル,ヴェル,ふむ。・・・ずずず。（立ち上がる）良き夢を。,,,
,265,265_クリシュオラ,クリシュオラ,(ゴソゴソと寝返る),,,
,,,ト書き,キッチンの方にいってエリスに話しかける,,,
,266,266_ヴェル,ヴェル,馳走になった。,,,
,267,267_エリス,エリス,あら。お話は思う終わったんですか,,,
,268,268_ヴェル,ヴェル,ありがとう。気遣いに感謝する。,,,
,269,269_エリス,エリス,くす、老婆のいらぬお節介だと思ってください。,,,
,270,270_ヴェル,ヴェル,では、そうさせていただく。,,,
,271,271_エリス,エリス,ヴェル様は、お風呂ははいられますか？,,,
,272,272_ヴェル,ヴェル,ふむ。いや私は寝ずとも良き身なので、最後に借ることとする。,,,
,273,273_エリス,エリス,そうですか。,,,
,274,274_ヴェル,ヴェル,では。,,,
,275,275_エリス,エリス,イーラの部屋は二階に上がって左手の部屋です。,,,
,276,276_ヴェル,ヴェル,・・・そうか。ありがとう,,,
,277,277_エリス,エリス,イーラは毎晩このくらいの時間から、冒険の本を読んで欲しいと駄々をこね始めます。今日はヴェル様の話を聞きたいみたいだから、子供の相手と思って少しの間だけ、お話を聞かせてあげてください。,,,
,278,278_ヴェル,ヴェル,・・・,,,
,279,279_エリス,エリス,私は久しぶりにゆっくりお風呂につからせていただきますから。場所とシーツのお代と思ってください。,,,
,280,280_ヴェル,ヴェル,では、しっかりと勤めあげよう。,,,
,281,281_エリス,エリス,くす、よろしくお願いします。,,,
,,,ト書き,２階へ上がって部屋をノックする。,,,
,282,282_ヴェル,ヴェル,（ノックする）起きておるか。,,,
,283,283_イーラ,イーラ,んー、どうぞ。（ちょっと眠い）,,,
,284,284_ヴェル,ヴェル,失礼させていただく。,,,
,285,285_イーラ,イーラ,やっときた。遅かったのねぇ。,,,
,286,286_ヴェル,ヴェル,すまぬ。話し込んでしまってな。,,,
,287,287_イーラ,イーラ,ん。ゆるそう。,,,
,288,288_ヴェル,ヴェル,ふっ・・・。,,,
,289,289_イーラ,イーラ,ねえ、ヴェルはどこからきたの？,,,
,290,290_ヴェル,ヴェル,難しい質問だ。私は・・・。,,,
,291,291_イーラ,イーラ,ねえ、魔王っているの？,,,
,292,292_ヴェル,ヴェル,なぜ、それを聞く？,,,
,293,293_イーラ,イーラ,あのね、本を読んだの。魔王はね、ヴォルカスっていうの。私はね、きっと可哀想な人だって思うの。,,,
,294,294_ヴェル,ヴェル,ほう。,,,
,295,295_イーラ,イーラ,それでね、私が生まれた年に魔王は死んだの。けど、誰も会ったことがないんだって。どんな人か知らないんだけど悪い人だって。,,,
,296,296_ヴェル,ヴェル,ふむ。,,,
,297,297_イーラ,イーラ,でも私はそう思わないの。魔王はきっとね、いい人だったのよ。,,,
,298,298_ヴェル,ヴェル,当たってもいるが、間違ってもいる。,,,
,299,299_イーラ,イーラ,ヴェルは、魔王のこと知っっているの？,,,
,300,300_ヴェル,ヴェル,多少なら。,,,
,301,301_イーラ,イーラ,やっぱり。ねえ、話して。そのお話。ヴェルの知っていることでいいの。,,,
,f,00f_ヴェル,ヴェル,ふむ。では・・・,,,
